entry_time,exit_time,dir,entry,exit,sl,tp,points,pnl,reason,r_mult,hour,dow,run,risk_pct,dist_module_pct,dist_level_pct,vol_pct,above_ma,equity
2014-04-04 10:33:00-04:00,2014-04-04 10:49:00-04:00,-1,3624.445,3609.5800000000004,3629.4,3609.5800000000004,14.364999999999782,27.489999999999565,TP,2.899,10,4,7,0.1367,3.1842,0.2428,0.1371,0,-5622.159145999668
2014-04-04 12:13:00-04:00,2014-04-04 12:56:00-04:00,1,3558.439,3548.452,3548.452,3588.3999999999987,-10.486999999999625,-22.21399999999925,SL,-1.05,12,4,3,0.2807,31.8982,3.2943,0.1123,0,-5644.373145999667
2014-04-04 13:09:00-04:00,2014-04-04 13:34:00-04:00,1,3553.501,3547.537,3547.537,3571.3930000000014,-6.4640000000003965,-14.168000000000793,SL,-1.084,13,4,3,0.1678,31.8036,3.4378,0.1045,0,-5658.541145999668
2014-04-07 09:35:00-04:00,2014-04-07 09:56:00-04:00,-1,3521.451,3527.503,3527.503,3503.2949999999996,-6.552000000000135,-14.34400000000027,SL,-1.083,9,0,4,0.1719,6.2021,0.403,0.0488,1,-5672.885145999668
2014-04-07 10:31:00-04:00,2014-04-07 10:38:00-04:00,1,3532.011,3525.353,3525.353,3551.9849999999997,-7.157999999999902,-15.555999999999804,SL,-1.075,10,0,4,0.1885,31.3887,0.4554,0.1256,1,-5688.441145999667
2014-04-07 11:00:00-04:00,2014-04-07 11:01:00-04:00,-1,3522.126,3525.831,3525.831,3511.0110000000004,-4.204999999999927,-9.649999999999855,SL,-1.135,11,0,3,0.1052,6.1817,0.3837,0.1222,1,-5698.091145999667
2014-04-07 11:49:00-04:00,2014-04-07 12:09:00-04:00,-1,3519.24,3507.107999999999,3523.284,3507.107999999999,11.632000000000971,22.024000000001944,TP,2.876,11,0,3,0.1149,6.2688,0.466,0.0923,0,-5676.067145999665
2014-04-07 12:18:00-04:00,2014-04-07 12:20:00-04:00,1,3501.819,3497.824,3497.824,3513.8039999999996,-4.494999999999891,-10.229999999999782,SL,-1.125,12,0,3,0.1141,30.7971,1.3215,0.0864,0,-5686.297145999664
2014-04-08 10:28:00-04:00,2014-04-08 10:33:00-04:00,-1,3500.378,3505.748,3505.748,3484.2680000000005,-5.869999999999891,-12.979999999999782,SL,-1.093,10,1,3,0.1534,6.8415,0.5366,0.1416,0,-5699.277145999664
2014-04-08 11:37:00-04:00,2014-04-08 11:40:00-04:00,1,3535.133,3530.306,3530.306,3549.613999999999,-5.326999999999771,-11.893999999999542,SL,-1.104,11,1,4,0.1365,31.4493,0.4251,0.089,1,-5711.171145999663
2014-04-08 11:50:00-04:00,2014-04-08 12:15:00-04:00,1,3528.282,3537.3570000000004,3525.257,3537.3570000000004,8.575000000000273,15.910000000000545,TP,2.835,11,1,4,0.0857,31.3161,0.6201,0.0859,1,-5695.261145999662
2014-04-08 12:35:00-04:00,2014-04-08 12:40:00-04:00,1,3541.899,3538.089,3538.089,3553.3289999999997,-4.309999999999945,-9.859999999999891,SL,-1.131,12,1,3,0.1076,31.5802,0.2333,0.0769,1,-5705.121145999662
2014-04-09 09:41:00-04:00,2014-04-09 10:20:00-04:00,-1,3548.281,3558.001,3558.001,3519.120999999999,-10.220000000000255,-21.680000000000508,SL,-1.051,9,2,3,0.2739,5.3991,1.4228,0.0464,1,-5726.801145999662
2014-04-09 10:29:00-04:00,2014-04-09 10:30:00-04:00,-1,3557.334,3561.322,3561.322,3545.369999999999,-4.488000000000284,-10.216000000000568,SL,-1.125,10,2,3,0.1121,5.1308,1.6737,0.1328,1,-5737.017145999663
2014-04-09 10:49:00-04:00,2014-04-09 10:53:00-04:00,1,3559.245,3554.853,3554.853,3572.4209999999994,-4.891999999999825,-11.023999999999651,SL,-1.114,10,2,3,0.1234,31.9137,0.4331,0.1177,1,-5748.041145999662
2014-04-09 12:09:00-04:00,2014-04-09 12:17:00-04:00,1,3563.671,3560.596,3560.596,3572.8959999999993,-3.574999999999818,-8.389999999999636,SL,-1.163,12,2,3,0.0863,31.9982,0.5568,0.0569,1,-5756.431145999662
2014-04-09 12:57:00-04:00,2014-04-09 13:30:00-04:00,1,3569.049,3565.479,3565.479,3579.7590000000005,-4.070000000000164,-9.380000000000328,SL,-1.14,12,2,10,0.1,32.1007,0.7066,0.054,1,-5765.811145999662
2014-04-10 09:39:00-04:00,2014-04-10 09:54:00-04:00,-1,3588.84,3572.679000000001,3594.227,3572.679000000001,15.660999999999149,30.0819999999983,TP,2.907,9,3,3,0.1501,4.2079,1.5253,0.0509,0,-5735.729145999663
2014-04-10 10:06:00-04:00,2014-04-10 10:19:00-04:00,1,3572.46,3566.464,3566.464,3590.4480000000003,-6.496000000000095,-14.23200000000019,SL,-1.083,10,3,3,0.1678,32.1655,0.8615,0.0931,0,-5749.961145999663
2014-04-10 11:15:00-04:00,2014-04-10 11:17:00-04:00,-1,3548.117,3550.357,3550.357,3541.397000000001,-2.7399999999997817,-6.719999999999564,SL,-1.223,11,3,4,0.0631,5.4039,0.3951,0.0926,0,-5756.6811459996625
2014-04-10 11:35:00-04:00,2014-04-10 11:42:00-04:00,-1,3535.569,3540.01,3540.01,3522.245999999999,-4.941000000000258,-11.122000000000517,SL,-1.113,11,3,3,0.1256,5.778,0.0416,0.0883,0,-5767.803145999663
2014-04-10 11:57:00-04:00,2014-04-10 12:00:00-04:00,1,3537.54,3533.457,3533.457,3549.789,-4.583000000000084,-10.406000000000168,SL,-1.122,11,3,4,0.1154,31.4959,1.8571,0.0819,0,-5778.209145999663
2014-04-10 12:18:00-04:00,2014-04-10 12:44:00-04:00,-1,3522.777,3514.1429999999996,3525.655,3514.1429999999996,8.13400000000047,15.028000000000938,TP,2.826,12,3,4,0.0817,6.1621,0.3214,0.0846,0,-5763.181145999662
2014-04-10 12:55:00-04:00,2014-04-10 13:17:00-04:00,-1,3516.257,3506.8040000000005,3519.408,3506.8040000000005,8.95299999999952,16.66599999999904,TP,2.841,12,3,3,0.0896,6.359,0.5074,0.0824,0,-5746.515145999662
2014-04-11 09:31:00-04:00,2014-04-11 09:35:00-04:00,1,3464.215,3449.801,3449.801,3507.457000000001,-14.914000000000215,-31.068000000000428,SL,-1.035,9,4,3,0.4161,30.0459,4.1167,0.0621,0,-5777.5831459996625
2014-04-11 09:49:00-04:00,2014-04-11 10:05:00-04:00,1,3477.799,3469.622,3469.622,3502.3300000000004,-8.677000000000135,-18.594000000000268,SL,-1.061,9,4,4,0.2351,30.3191,3.71,0.094,0,-5796.177145999663
2014-04-11 10:10:00-04:00,2014-04-11 10:12:00-04:00,1,3469.97,3462.536,3462.536,3492.271999999999,-7.933999999999742,-17.107999999999482,SL,-1.067,10,4,3,0.2142,30.1619,3.944,0.1275,0,-5813.285145999662
2014-04-11 10:20:00-04:00,2014-04-11 10:28:00-04:00,1,3457.916,3474.908000000001,3452.252,3474.908000000001,16.492000000000644,31.74400000000129,TP,2.912,10,4,3,0.1638,29.9185,4.3063,0.1443,0,-5781.54114599966
2014-04-11 10:41:00-04:00,2014-04-11 10:45:00-04:00,1,3485.673,3474.577,3474.577,3518.9609999999984,-11.595999999999549,-24.431999999999096,SL,-1.045,10,4,3,0.3183,30.4766,3.4757,0.1413,1,-5805.973145999659
2014-04-11 11:37:00-04:00,2014-04-11 12:16:00-04:00,-1,3491.25,3473.8829999999994,3497.039,3473.8829999999994,16.867000000000644,32.494000000001286,TP,2.914,11,4,4,0.1658,7.1208,0.3857,0.1136,1,-5773.479145999658
2014-04-11 12:20:00-04:00,2014-04-11 12:39:00-04:00,-1,3476.135,3480.101,3480.101,3464.2370000000005,-4.4659999999998945,-10.17199999999979,SL,-1.126,12,4,3,0.1141,7.5866,0.0474,0.0979,0,-5783.651145999657
2014-04-11 12:55:00-04:00,2014-04-11 13:05:00-04:00,1,3477.325,3474.791,3474.791,3484.9269999999988,-3.0339999999996508,-7.307999999999302,SL,-1.197,12,4,6,0.0729,30.3096,3.7241,0.0802,1,-5790.959145999656
2014-04-14 09:38:00-04:00,2014-04-14 09:42:00-04:00,1,3471.943,3468.66,3468.66,3481.7920000000013,-3.7830000000003565,-8.806000000000713,SL,-1.152,9,0,4,0.0946,30.2016,0.585,0.0436,1,-5799.765145999657
2014-04-14 13:18:00-04:00,2014-04-14 13:20:00-04:00,1,3477.79,3475.255,3475.255,3485.3949999999995,-3.0349999999998545,-7.309999999999709,SL,-1.197,13,0,4,0.0729,30.319,0.7521,0.0495,1,-5807.075145999656
2014-04-15 09:51:00-04:00,2014-04-15 10:03:00-04:00,-1,3501.605,3488.0270000000005,3506.131,3488.0270000000005,13.07799999999952,24.91599999999904,TP,2.89,9,1,3,0.1293,6.804,1.8524,0.0582,1,-5782.159145999657
2014-04-15 10:26:00-04:00,2014-04-15 10:30:00-04:00,1,3468.786,3459.439,3459.439,3496.8270000000007,-9.847000000000207,-20.934000000000413,SL,-1.053,10,1,3,0.2695,30.1381,0.7023,0.1126,0,-5803.093145999657
2014-04-15 10:38:00-04:00,2014-04-15 10:40:00-04:00,-1,3461.872,3466.795,3466.795,3447.102999999999,-5.423000000000229,-12.086000000000459,SL,-1.102,10,1,5,0.1422,8.0298,0.7259,0.1205,0,-5815.1791459996575
2014-04-15 10:45:00-04:00,2014-04-15 10:49:00-04:00,1,3461.509,3458.486,3458.486,3470.5780000000004,-3.5230000000001382,-8.286000000000277,SL,-1.165,10,1,5,0.0873,29.9912,0.914,0.1196,0,-5823.465145999658
2014-04-15 11:14:00-04:00,2014-04-15 11:17:00-04:00,-1,3442.525,3449.942,3449.942,3420.2740000000003,-7.916999999999916,-17.07399999999983,SL,-1.067,11,1,3,0.2155,8.637,0.168,0.1401,0,-5840.539145999657
2014-04-15 11:35:00-04:00,2014-04-15 12:01:00-04:00,-1,3450.915,3428.8889999999997,3458.257,3428.8889999999997,21.526000000000295,41.81200000000059,TP,2.932,11,1,4,0.2128,8.3729,0.4107,0.1348,0,-5798.727145999656
